"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","bystander_condition","condition","participant","age","gender","inquiry","stimulus","response","item_type","question_order","block_type"
"true","3229281","fullscreen","0","null","3230220","plczkkakabd","slow","immoral","seal","20","female","","","","","",""
"","919","html-keyboard-response","1","2.0.0","3231141","plczkkakabd","slow","immoral","seal","20","female","","Welcome to the experiment. Press any key to begin."," ","","",""
"","2690","survey-text","2","2.0.0","3233835","plczkkakabd","slow","immoral","seal","20","female","","","{""participant_id"":""seal""}","","",""
"","1709","html-keyboard-response","3","2.0.0","3235546","plczkkakabd","slow","immoral","seal","20","female","","
   <p>In this experiment, you will be presented with potential scenarios.</p><p>Please read through these carefully.</p>
   <p>You will answer a series of questions afterwards.</p>
   <p>Press any key to begin.</p>
 "," ","","",""
"","4200","html-button-response","4","2.0.0","3239748","plczkkakabd","slow","immoral","seal","20","female","","<p>Two people, J and N, were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars.</p><p> Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each person considered whether they should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p>","0","","",""
"","262805","html-button-response","5","2.0.0","3502550","plczkkakabd","slow","immoral","seal","20","female",""," <p> J saw their decision as an easy one and was <i> able to decide quickly. J pocketed the money and drove off. </i></p><p> In contrast, N saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in their car, <i> N too decided to pocket the money and drive off.</i></p>","0","immoral_stimulus_1","",""
"","7080","survey-likert","6","2.0.0","3509633","plczkkakabd","slow","immoral","seal","20","female","","","{""j_manipulation_check"":3,""n_manipulation_check"":5}","","[0,1]",""
"","16931","survey-likert","7","2.0.0","3526566","plczkkakabd","slow","immoral","seal","20","female","","","{""n_standards_eval"":4,""j_standards_eval"":5}","","[1,0]","standards"
"","8180","survey-likert","8","2.0.0","3534749","plczkkakabd","slow","immoral","seal","20","female","","","{""n_principles_eval"":2,""j_principles_eval"":4}","","[1,0]","principles"
"","13581","survey-likert","9","2.0.0","3548332","plczkkakabd","slow","immoral","seal","20","female","","","{""n_deepness_eval"":3,""j_deepness_eval"":5}","","[1,0]","depth"
"","12180","survey-likert","10","2.0.0","3560514","plczkkakabd","slow","immoral","seal","20","female","","","{""j_cert_conflicted_RS"":1,""n_cert_conflicted_RS"":4,""j_cert_reservations_RS"":2,""n_cert_reservations_RS"":4}","","[0,1,2,3]","certainty"
"","53802","survey-likert","11","2.0.0","3614317","plczkkakabd","slow","immoral","seal","20","female","","","{""j_cert_quite_certain"":4,""n_cert_quite_certain"":2,""j_cert_far_from_alternative"":3,""n_cert_far_from_alternative"":5}","","[0,1,2,3]","certainty"
"","7281","survey-likert","12","2.0.0","3621600","plczkkakabd","slow","immoral","seal","20","female","","","{""j_imp_calm_contained_RS"":2,""n_imp_calm_contained_RS"":4,""j_imp_upset_acted_without_thinking"":1,""n_imp_upset_acted_without_thinking"":4}","","[0,1,2,3]","emotional_impulsivity"
"","31980","html-button-response","13","2.0.0","3653582","plczkkakabd","slow","immoral","seal","20","female","","<p> The next day, B was leaving the local grocery store when they also spotted a lost wallet next to their car.</p><p> Upon picking up the wallet and looking inside, B found several hundred dollars in cash. </p>","0","","",""
"","2650","html-button-response","14","2.0.0","3656233","plczkkakabd","slow","immoral","seal","20","female","","<p> B saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking, B decided to leave the wallet where they found it and drove off. </p>","0","byst_scenario_slow","",""
"","2597","survey-likert","15","2.0.0","3658832","plczkkakabd","slow","immoral","seal","20","female","","","{""b_standards_eval"":2}","","[0]","byst_standards"
"","1949","survey-likert","16","2.0.0","3660783","plczkkakabd","slow","immoral","seal","20","female","","","{""b_principles_eval"":3}","","[0]","byst_principles"
"","1748","survey-likert","17","2.0.0","3662533","plczkkakabd","slow","immoral","seal","20","female","","","{""b_deepness_eval"":2}","","[0]","byst_depth"
"","5714","survey-likert","18","2.0.0","3668250","plczkkakabd","slow","immoral","seal","20","female","","","{""b_imp_calm_contained_RS"":2,""b_imp_upset_acted_without_thinking"":1}","","[0,1]","byst_emotional_impulsivity"
"","6097","survey-likert","19","2.0.0","3674350","plczkkakabd","slow","immoral","seal","20","female","","","{""B_cert_far_from_alternative"":3,""B_cert_quite_certain"":4,""B_cert_conflicted_RS"":4,""B_cert_reservations_RS"":2}","","[3,2,0,1]","byst_certainty"
"","2914","survey-text","20","2.0.0","3677267","plczkkakabd","slow","immoral","seal","20","female","","","{""participant_age"":""20""}","","",""
"","5365","survey-text","21","2.0.0","3682634","plczkkakabd","slow","immoral","seal","20","female","","","{""gender"":""female""}","","",""
"","20131","survey-likert","22","2.0.0","3702767","plczkkakabd","slow","immoral","seal","20","female","","","{""ma_gut_feelings"":5,""ma_some_actions_wrong"":3,""ma_outcomes_matter"":4,""ma_think_through"":2,""ma_character_reflective"":3}","","[0,3,2,1,4]","moral_attitudes"
"","18266","survey-text","23","2.0.0","3721036","plczkkakabd","slow","immoral","seal","20","female","","","{""Q0"":""It was interesting and no technical difficulties""}","","",""
